K,cluster,representative_source,phase,parameter,unit,n_cluster,n_valid,n_missing,median,std,p05,p95,width90,minimum,maximum,range,skewness,error95,error_max,angle_origin_deg,angle_resultant
10,0,181750,backward,eps,km^2/s^2,47920,47920.0,0.0,-0.1268624255483246,0.03958484291607163,-0.19514288908902241,-0.07214178157467117,0.12300110751435124,-0.23188559099245654,-0.058817793307683885,0.17306779768477265,-0.20121759194690159,0.0667311514758222,0.10018995289403498,nan,nan
10,1,160930,backward,eps,km^2/s^2,2213,2213.0,0.0,-0.1891160267483658,0.14857221575077528,-0.2581729976883146,-0.11446416621659683,0.14370883147171776,-1.0176690233481307,-0.04380722131250103,0.9738618020356297,-4.08361259408129,0.13677719643740682,0.827777912298839,nan,nan
10,2,31229,backward,eps,km^2/s^2,4929,4929.0,0.0,-0.8340899868629321,0.050056706829434895,-0.9716918209682286,-0.8125726176646915,0.15911920330353713,-1.020836128343177,-0.806208472304013,0.214627656039164,-1.2335655756292696,0.14127189292116604,0.1904162002961145,nan,nan
10,3,18261,backward,eps,km^2/s^2,17104,17104.0,0.0,-0.9046097251364508,0.03949338290193682,-0.9830975391538543,-0.8570228006711142,0.1260747384827401,-0.9915968795283152,-0.8455281706683686,0.1460687088599466,-0.38712367827340133,0.06801688530320879,0.07609222084973943,nan,nan
10,4,216018,backward,eps,km^2/s^2,8846,8846.0,0.0,-0.18664124882494443,0.05754018776967219,-0.2525795655148276,-0.057046912037895775,0.1955326534769318,-0.2582250091029896,-0.04391779137377705,0.21430721772921257,0.5955509428942671,0.118095188362669,0.13122430902678772,nan,nan
10,5,56494,backward,eps,km^2/s^2,18771,18771.0,0.0,-0.8653368355079021,0.024264898845304705,-0.9018020237993214,-0.8214332798409507,0.08036874395837068,-0.9749900020885928,-0.8063623697289342,0.1686276323596586,0.22243211649504124,0.051326928555717244,0.10264009086237114,nan,nan
10,6,168099,backward,eps,km^2/s^2,9888,9888.0,0.0,-0.1872549520257425,0.0448317304325529,-0.2554878784414146,-0.11250235163138964,0.14298552681002494,-0.2593276385082858,-0.06134792539939993,0.19797971310888585,0.00786066990799007,0.08007844746602436,0.13123287369801406,nan,nan
10,7,148986,backward,eps,km^2/s^2,58713,58713.0,0.0,-0.20941011142656085,0.03500635450012105,-0.24641953373008954,-0.13617683837630554,0.110242695353784,-0.2581106155868368,-0.1181607648246098,0.139949850762227,0.5161993763084199,0.07597142759344568,0.09398750114514143,nan,nan
10,8,78072,backward,eps,km^2/s^2,15687,15687.0,0.0,-0.9379211104348922,0.021327624553329403,-0.9700138787386136,-0.9074126707950066,0.0626012079436069,-1.0207392989867343,-0.8379491244275502,0.18279017455918412,0.5985698374062527,0.05255630393755985,0.12198498458644613,nan,nan
10,9,90582,backward,eps,km^2/s^2,9987,9987.0,0.0,-0.9778494024656433,0.040586832406388405,-1.0031453121275171,-0.8743099303548127,0.12883538177270437,-1.0086547271271056,-0.8065371397178525,0.20211758740925312,1.4666973050325516,0.11739887098446908,0.1851716616214294,nan,nan
10,0,181750,backward,e,-,47920,47920.0,0.0,0.6966135158101143,0.09657687783707926,0.5278327920876272,0.8280447894748089,0.30021199738718163,0.4303047440421292,0.8598376401626954,0.42953289612056617,-0.2323439539709534,0.16307207433236456,0.25488046026411465,nan,nan
10,1,160930,backward,e,-,2213,2213.0,0.0,0.543319284668522,0.12118493938908459,0.36205819687377194,0.7264546964733397,0.36439649959956777,0.17669300373752553,0.8956261106421681,0.7189331069046426,0.04397547137675462,0.2004961909498465,0.36434414421012606,nan,nan
10,2,31229,backward,e,-,4929,4929.0,0.0,0.24976820564799854,0.09876937066553367,0.1887338282317431,0.5032901938486999,0.31455636561695677,0.16819393098549065,0.5729713754320799,0.40477744444658925,0.993811947902334,0.2629068344244906,0.3325880160078706,nan,nan
10,3,18261,backward,e,-,17104,17104.0,0.0,0.3939343778811228,0.06845231849269859,0.3014446663783621,0.5200248256593544,0.21858015928099228,0.2759808255270147,0.5323640389430679,0.25638321341605325,0.23088025665203282,0.11520477959176852,0.13707287653760747,nan,nan
10,4,216018,backward,e,-,8846,8846.0,0.0,0.5495338363600569,0.14409943899092525,0.3730901406213935,0.8640779283981701,0.4909877877767766,0.3566637372686819,0.8953605839444655,0.5386968466757835,0.5117407432087111,0.2851640540182097,0.31644670956450505,nan,nan
10,5,56494,backward,e,-,18771,18771.0,0.0,0.3198830065426336,0.05238245846482147,0.21581907010826906,0.38965619888030073,0.17383712877203167,0.1685914010438332,0.5082041819629666,0.3396127809191334,-0.5484353587459898,0.11868197033568663,0.17385097009061634,nan,nan
