K,cluster,representative_source,phase,parameter,unit,n_cluster,n_valid,n_missing,median,std,p05,p95,width90,minimum,maximum,range,skewness,error95,error_max,angle_origin_deg,angle_resultant
10,0,147032,backward,a,km,56047,0.0,56047.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,1,33467,backward,a,km,11708,11708.0,0.0,200954.78804240312,7477.645843468104,196477.0575309839,217423.7901027952,20946.7325718113,193076.19742837848,241038.04455535414,47961.847126975656,2.339886922683225,17022.55927577322,40636.81372833214,nan,nan
10,2,52405,backward,a,km,8936,8936.0,0.0,227099.93945548803,6220.901990468618,218038.06921425444,239244.8875537605,21206.818339506048,201816.83987880102,240932.03797429483,39115.198095493804,0.23599103685100414,14578.18161534171,22872.478447697184,nan,nan
10,3,156649,backward,a,km,34130,0.0,34130.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,4,40474,backward,a,km,10599,10599.0,0.0,226820.19609454196,6131.443095895945,217104.30030257386,235666.84100006506,18562.540697491204,213489.13434544232,241125.0717833503,27635.937437907967,0.02904919006574914,12928.222044165766,18386.452827450994,nan,nan
10,5,138247,backward,a,km,28418,0.0,28418.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,6,32694,backward,a,km,5549,5549.0,0.0,224215.27268844467,11548.93972211489,203478.6702847759,239273.2645222125,35794.5942374366,193064.57318591388,241085.72261298014,48021.149427066266,-0.2652394589558674,19338.119052901937,26880.64448255804,nan,nan
10,7,16324,backward,a,km,15123,15123.0,0.0,218384.08638747188,7716.333230271836,204117.26512078758,228512.7681361115,24395.50301532392,199408.0302344442,241117.27134957447,41709.24111513028,-0.27170368050693666,13255.3266388997,24218.564672650828,nan,nan
10,8,57507,backward,a,km,14674,14674.0,0.0,209611.20623252692,4276.172115445081,203180.99727443114,216199.61008146656,13018.612807035417,193052.52070609113,233183.68655768142,40131.16585159028,0.40610968657155044,7267.0371614584765,23029.444580870884,nan,nan
10,9,221423,backward,a,km,8940,0.0,8940.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0,147032,backward,e,-,56047,0.0,56047.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,1,33467,backward,e,-,11708,11708.0,0.0,0.5120884896108042,0.058745338735616576,0.38772213185945276,0.5452000400311916,0.15747790817173885,0.17082034316511632,0.5703133050206662,0.39949296185554994,-2.635475094738411,0.12858397977343533,0.3454857684677718,nan,nan
10,2,52405,backward,e,-,8936,8936.0,0.0,0.3085332648756204,0.05515962427561453,0.1924267301539023,0.3823749095322827,0.1899481793783804,0.17197019256768084,0.5056374904404745,0.3336672978727936,-0.44832558339984213,0.1366167651992371,0.1769049481871347,nan,nan
